squad,League,player,nationality,position,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,Season
Bayern Munich,Bundesliga,Sven Ulreich,de GER,GK,29,1988,9.0,8.0,757.0,9.0,1.07,20.0,13.0,0.65,4.0,3.0,1.0,2.0,25.0,3.0,2.0,0.0,1.0,8.4,1.0,1.0,0.0,7.0,0.31,-2.0,-0.23,26.0,62.0,41.9,218.0,56.0,25.2,29.5,36.0,19.4,33.3,33.0,0.0,0.0,8.0,0.95,17.4,2018/2019
Bayern Munich,Bundesliga,Manuel Neuer,de GER,GK,31,1986,3.0,3.0,270.0,2.0,0.67,8.0,6.0,0.75,2.0,0.0,1.0,2.0,66.7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.5,0.19,-0.5,-0.17,18.0,28.0,64.3,73.0,8.0,35.6,34.3,8.0,25.0,32.6,5.0,0.0,0.0,1.0,0.33,12.1,2017/2018
Bayern Munich,Bundesliga,Tom Starke,de GER,GK,36,1981,2.0,2.0,180.0,0.0,0.0,6.0,6.0,1.0,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,0.25,1.5,0.76,10.0,22.0,45.5,46.0,9.0,34.8,33.3,9.0,66.7,46.7,15.0,2.0,13.3,3.0,1.5,23.6,2017/2018
Bayern Munich,Bundesliga,Sven Ulreich,de GER,GK,28,1988,29.0,29.0,2610.0,26.0,0.9,79.0,57.0,0.684,23.0,3.0,3.0,12.0,41.4,5.0,1.0,4.0,0.0,29.0,1.0,2.0,3.0,25.0,0.28,2.0,0.07,130.0,337.0,38.6,790.0,139.0,35.2,34.1,136.0,43.4,41.7,168.0,12.0,7.1,25.0,0.86,16.8,2017/2018
Leverkusen,Bundesliga,Lukáš Hrádecký,fi FIN,GK,31-037,1989,13.0,13.0,1170.0,12.0,0.92,32.0,22.0,0.6559999999999999,8.0,4.0,1.0,5.0,38.5,2.0,1.0,1.0,0.0,13.0,0.0,0.0,1.0,12.2,0.32,1.2,0.09,94.0,246.0,38.2,591.0,67.0,36.2,34.8,72.0,44.4,36.4,86.0,6.0,7.0,17.0,1.31,17.9,2020/2021
Leverkusen,Bundesliga,Lukáš Hrádecký,fi FIN,GK,29,1989,34.0,34.0,3060.0,44.0,1.29,137.0,92.0,0.693,19.0,6.0,9.0,10.0,29.4,2.0,2.0,0.0,0.0,34.0,1.0,6.0,0.0,48.7,0.35,4.7,0.14,261.0,604.0,43.2,1362.0,205.0,37.0,35.7,234.0,42.7,38.9,218.0,21.0,9.6,29.0,0.85,15.8,2019/2020
Leverkusen,Bundesliga,Lukáš Hrádecký,fi FIN,GK,28,1989,32.0,32.0,2880.0,49.0,1.53,125.0,83.0,0.632,18.0,4.0,10.0,9.0,28.1,4.0,3.0,1.0,0.0,32.0,2.0,10.0,2.0,40.9,0.3,-4.1,-0.13,238.0,509.0,46.8,1168.0,160.0,34.6,35.0,196.0,53.6,44.6,233.0,22.0,9.4,28.0,0.88,16.0,2018/2019
Leverkusen,Bundesliga,Ramazan Özcan,at AUT,GK,34,1984,2.0,2.0,180.0,5.0,2.5,12.0,8.0,0.667,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,5.5,0.35,0.5,0.26,14.0,40.0,35.0,53.0,7.0,58.5,45.9,9.0,100.0,67.3,16.0,0.0,0.0,1.0,0.5,15.2,2018/2019
Leverkusen,Bundesliga,Bernd Leno,de GER,GK,25,1992,33.0,33.0,2970.0,40.0,1.21,104.0,68.0,0.6629999999999999,15.0,10.0,8.0,10.0,30.3,5.0,5.0,0.0,0.0,33.0,2.0,3.0,0.0,34.5,0.29,-5.5,-0.17,216.0,578.0,37.4,982.0,131.0,44.6,38.8,225.0,62.2,50.6,223.0,12.0,5.4,32.0,0.97,18.0,2017/2018
Leverkusen,Bundesliga,Ramazan Özcan,at AUT,GK,33,1984,1.0,1.0,90.0,4.0,4.0,7.0,3.0,0.429,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.2,0.42,-0.8,-0.78,4.0,12.0,33.3,32.0,6.0,31.3,34.1,6.0,33.3,32.8,6.0,0.0,0.0,1.0,1.0,19.2,2017/2018
